price,milage,transmission_type,first_registration,recent_hu,power,extras
5500,100000,Schaltgetriebe,04/1998,Neu,115,"[""ABS"", ""Alarmanlage"", ""Bordcomputer"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Wegfahrsperre"", ""Innenspiegel autom. abblendend"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Raucherpaket"", ""Reserverad"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Sportfahrwerk"", ""Sportpaket"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Zentralverriegelung""]"
9299,89230,Schaltgetriebe,03/2006,02/2022,170,"[""ABS"", ""Allwetterreifen"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Regensensor"", ""Reifendruckkontrolle"", ""Reserverad"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Sportfahrwerk"", ""Sportsitze"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
18950,93462,Schaltgetriebe,01/1991,unknown,111,[]
4700,172000,Schaltgetriebe,09/2002,09/2021,191,"[""ABS"", ""Armlehne"", ""Bluetooth"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Innenspiegel autom. abblendend"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Nebelscheinwerfer"", ""Scheckheftgepflegt"", ""Schiebedach"", ""Servolenkung"", ""Sitzheizung"", ""Traktionskontrolle"", ""USB"", ""Zentralverriegelung""]"
6490,111400,Schaltgetriebe,08/1998,Neu,170,"[""ABS"", ""Armlehne"", ""Bordcomputer"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Raucherpaket"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Soundsystem"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Zentralverriegelung""]"
9990,165000,Automatik,03/2005,06/2022,285,"[""ABS"", ""Alarmanlage"", ""Anh\\xc3\\xa4ngerkupplung abnehmbar"", ""Armlehne"", ""Bi-Xenon Scheinwerfer"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""ESP"", ""Geschwindigkeitsbegrenzer"", ""Kurvenlicht"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Multifunktionslenkrad"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Regensensor"", ""Reifendruckkontrolle"", ""Scheckheftgepflegt"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Soundsystem"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Tempomat"", ""Traktionskontrolle"", ""Winterreifen"", ""Zentralverriegelung""]"
4290,201890,Schaltgetriebe,07/1998,Neu,115,"[""ABS"", ""Alarmanlage"", ""Bordcomputer"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Garantie"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Raucherpaket"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Zentralverriegelung""]"
1590,259000,Schaltgetriebe,03/2001,01/2023,118,"[""ABS"", ""Anh\\xc3\\xa4ngerkupplung fest"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""ESP"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Notrad"", ""Regensensor"", ""Scheckheftgepflegt"", ""Schiebedach"", ""Servolenkung"", ""Sitzheizung"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Zentralverriegelung""]"
12500,85235,Schaltgetriebe,09/1997,Neu,115,"[""ABS"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Garantie"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Sitzheizung"", ""Skisack"", ""Sportfahrwerk"", ""Zentralverriegelung""]"
19900,92800,Schaltgetriebe,04/1990,04/2022,129,"[""ABS"", ""Bordcomputer"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Leichtmetallfelgen"", ""Nichtraucher-Fahrzeug"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Tuner/Radio""]"
