price,milage,transmission_type,first_registration,recent_hu,power,extras
2500,248000,Schaltgetriebe,04/1998,unknown,115,"[""ABS"", ""Armlehne"", ""Elektr. Fensterheber"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Servolenkung"", ""Sitzheizung"", ""Sportpaket"", ""Sportsitze"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Umklappbarer Beifahrersitz"", ""Zentralverriegelung""]"
1599,194000,Schaltgetriebe,03/1997,03/2023,104,"[""ABS"", ""Sitzheizung""]"
3250,81000,Schaltgetriebe,10/2003,10/2022,0,"[""ABS"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tuner/Radio""]"
6800,239000,Schaltgetriebe,08/2004,06/2022,170,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
3800,338900,Schaltgetriebe,05/2000,06/2022,149,"[""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Tuner/Radio""]"
19900,75600,Schaltgetriebe,06/1989,06/2021,171,"[""ABS"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tuner/Radio""]"
13000,170000,Schaltgetriebe,02/1994,09/2022,0,"[""ABS"", ""Sitzheizung""]"
3600,240000,Schaltgetriebe,09/2002,09/2021,142,"[""ABS"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Tuner/Radio""]"
2500,222669,Automatik,11/1994,02/2023,149,"[""ABS"", ""Anh\\xc3\\xa4ngerkupplung fest"", ""Leichtmetallfelgen"", ""Tuner/Radio""]"
5200,215000,Automatik,09/2001,04/2022,191,"[""ABS"", ""Bluetooth"", ""Navigationssystem""]"
4800,165066,Schaltgetriebe,01/2004,04/2022,142,"[""ABS"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
2500,190000,Schaltgetriebe,08/2002,02/2022,114,[]
7450,200500,Schaltgetriebe,08/2003,02/2022,170,"[""ABS"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
5499,192000,Automatik,03/2001,06/2022,231,"[""ABS"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
7900,172000,unknown,08/2002,07/2022,191,"[""ABS"", ""Anh\\xc3\\xa4ngerkupplung fest"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
7800,118000,Schaltgetriebe,06/2006,06/2022,149,"[""ABS"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
5500,251000,Schaltgetriebe,06/1996,11/2021,149,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tuner/Radio""]"
13900,147000,Automatik,08/2006,09/2022,306,"[""ABS"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Freisprecheinrichtung"", ""Isofix"", ""Kurvenlicht"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Multifunktionslenkrad"", ""Navigationssystem"", ""Regensensor"", ""Reifendruckkontrolle"", ""Scheckheftgepflegt"", ""Schl\\xc3\\xbcssellose Zentralverriegelung"", ""Servolenkung"", ""Sommerreifen"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Tagfahrlicht"", ""Tempomat"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Winterreifen"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
4950,255000,unknown,01/1998,04/2023,149,"[""Leichtmetallfelgen"", ""Tuner/Radio""]"
8699,204000,Schaltgetriebe,01/2003,unknown,170,"[""ABS"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tuner/Radio""]"
2500,280000,Schaltgetriebe,01/1996,11/2022,100,"[""ABS"", ""Leichtmetallfelgen"", ""Tuner/Radio""]"
6000,175047,Schaltgetriebe,03/1994,02/2022,149,"[""Sitzheizung"", ""Tuner/Radio""]"
8888,199999,Schaltgetriebe,01/2004,03/2022,191,"[""ABS"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
2100,250000,Schaltgetriebe,04/2002,08/2021,115,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tuner/Radio""]"
6500,236000,Schaltgetriebe,10/2001,unknown,191,"[""ABS"", ""Alarmanlage"", ""Android Auto"", ""Apple CarPlay"", ""Armlehne"", ""Bluetooth"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Heckklappe"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Freisprecheinrichtung"", ""Isofix"", ""Lederlenkrad"", ""LED-Tagfahrlicht"", ""Leichtmetallfelgen"", ""Multifunktionslenkrad"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Radio DAB"", ""Regensensor"", ""Reifendruckkontrolle"", ""Scheckheftgepflegt"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Soundsystem"", ""Sportpaket"", ""Sprachsteuerung"", ""Tempomat"", ""Touchscreen"", ""Traktionskontrolle"", ""Tuner/Radio"", ""TV"", ""USB"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
1700,124000,Schaltgetriebe,04/1996,03/2021,104,"[""ABS"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Scheckheftgepflegt"", ""Tuner/Radio""]"
9950,135000,Schaltgetriebe,03/2006,02/2023,149,"[""ABS"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
1350,250000,Schaltgetriebe,02/1996,01/2021,102,"[""Bluetooth"", ""Leichtmetallfelgen"", ""Tuner/Radio""]"
7700,196000,Schaltgetriebe,10/1994,02/2023,191,"[""Bluetooth"", ""Leichtmetallfelgen"", ""Sitzheizung""]"
1600,187000,Schaltgetriebe,07/1995,03/2023,102,"[""ABS"", ""Elektr. Fensterheber"", ""Elektr. Wegfahrsperre"", ""Nichtraucher-Fahrzeug"", ""Scheckheftgepflegt"", ""Schiebedach"", ""Servolenkung"", ""Zentralverriegelung""]"
11000,128599,Schaltgetriebe,08/2000,06/2021,231,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
2290,206500,Schaltgetriebe,10/2003,05/2021,142,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Tempomat"", ""Tuner/Radio""]"
13500,171000,Schaltgetriebe,10/2004,04/2022,231,"[""ABS"", ""Android Auto"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Freisprecheinrichtung"", ""Innenspiegel autom. abblendend"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Multifunktionslenkrad"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Radio DAB"", ""Regensensor"", ""Reifendruckkontrolle"", ""Reserverad"", ""Scheckheftgepflegt"", ""Scheinwerferreinigung"", ""Schiebedach"", ""Schl\\xc3\\xbcssellose Zentralverriegelung"", ""Servolenkung"", ""Sitzheizung"", ""Skisack"", ""Sommerreifen"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Tagfahrlicht"", ""Tempomat"", ""Touchscreen"", ""Traktionskontrolle"", ""TV"", ""USB"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
5999,208528,Schaltgetriebe,03/1998,unknown,199,[]
7000,191672,Schaltgetriebe,01/2002,11/2021,191,"[""ABS"", ""Alarmanlage"", ""Allwetterreifen"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Geschwindigkeitsbegrenzer"", ""Innenspiegel autom. abblendend"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Multifunktionslenkrad"", ""Scheckheftgepflegt"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Skisack"", ""Tempomat"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Umklappbarer Beifahrersitz"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
10500,179000,Automatik,06/1994,07/2021,191,[]
2999,242000,Automatik,10/2000,04/2022,149,[]
9999,270000,Schaltgetriebe,03/1991,05/2022,129,"[""ABS"", ""Bordcomputer"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Soundsystem"", ""Sportpaket"", ""Stahlfelgen"", ""Winterreifen"", ""Zentralverriegelung""]"
2100,328000,Schaltgetriebe,06/1996,02/2021,149,[]
6400,106000,Schaltgetriebe,03/2000,11/2022,118,"[""ABS"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tuner/Radio""]"
3350,203000,Schaltgetriebe,03/1999,05/2022,115,"[""Leichtmetallfelgen""]"
1990,199800,Automatik,07/2002,08/2021,115,"[""ABS"", ""Armlehne"", ""Elektr. Fensterheber"", ""ESP"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Sportfahrwerk"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Zentralverriegelung""]"
22500,63000,Schaltgetriebe,05/1991,07/2022,130,"[""Scheckheftgepflegt"", ""Tuner/Radio""]"
6895,240000,Automatik,05/2003,05/2021,204,"[""ABS"", ""Anh\\xc3\\xa4ngerkupplung fest"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
5980,259200,Schaltgetriebe,05/2006,unknown,204,"[""ABS"", ""Adaptives Kurvenlicht"", ""Armlehne"", ""Bi-Xenon Scheinwerfer"", ""Bluetooth"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Lordosenst\\xc3\\xbctze"", ""Multifunktionslenkrad"", ""Musikstreaming integriert"", ""Nebelscheinwerfer"", ""Notrad"", ""Regensensor"", ""Reifendruckkontrolle"", ""Scheckheftgepflegt"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Tempomat"", ""Traktionskontrolle"", ""Umklappbarer Beifahrersitz"", ""Winterreifen"", ""Zentralverriegelung""]"
7599,274450,Schaltgetriebe,07/1996,11/2022,149,"[""ABS"", ""Bluetooth"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tuner/Radio""]"
2200,333500,Schaltgetriebe,02/2001,01/2021,170,"[""ABS"", ""Leichtmetallfelgen"", ""Sitzheizung""]"
2290,185000,Automatik,10/2000,03/2021,0,"[""ABS"", ""Sitzheizung"", ""Tuner/Radio""]"
10500,127000,Schaltgetriebe,03/1987,unknown,170,[]
1700,237523,Schaltgetriebe,06/2003,09/2021,119,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Tuner/Radio""]"
17500,93600,Automatik,12/2003,03/2022,231,"[""ABS"", ""Adaptives Kurvenlicht"", ""Alarmanlage"", ""Armlehne"", ""Bi-Xenon Scheinwerfer"", ""Bluetooth"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Freisprecheinrichtung"", ""Innenspiegel autom. abblendend"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Lordosenst\\xc3\\xbctze"", ""Multifunktionslenkrad"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Raucherpaket"", ""Regensensor"", ""Reserverad"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Skisack"", ""Sommerreifen"", ""Soundsystem"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Tempomat"", ""Traktionskontrolle"", ""Tuner/Radio"", ""TV"", ""USB"", ""Zentralverriegelung""]"
2999,119000,Schaltgetriebe,01/1978,unknown,97,"[""Tuner/Radio""]"
6000,210000,Schaltgetriebe,08/1991,10/2021,100,"[""Anh\\xc3\\xa4ngerkupplung fest"", ""Leichtmetallfelgen"", ""Sitzheizung""]"
11000,199000,Automatik,08/2002,unknown,231,"[""Navigationssystem"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
2790,252000,Schaltgetriebe,07/2002,05/2021,170,[]
1255,142000,Schaltgetriebe,05/1994,10/2021,102,"[""ABS"", ""Armlehne"", ""Bluetooth"", ""Elektr. Seitenspiegel"", ""Elektr. Wegfahrsperre"", ""Lederlenkrad"", ""Raucherpaket"", ""Schiebedach"", ""Servolenkung"", ""Sommerreifen"", ""Tuner/Radio"", ""USB"", ""Winterreifen"", ""Zentralverriegelung""]"
13999,147448,Schaltgetriebe,02/1996,02/2023,193,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tuner/Radio""]"
5500,258000,Schaltgetriebe,04/2005,06/2021,149,"[""ABS"", ""Allwetterreifen"", ""Armlehne"", ""Bluetooth"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Freisprecheinrichtung"", ""Innenspiegel autom. abblendend"", ""Isofix"", ""Kurvenlicht"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Lordosenst\\xc3\\xbctze"", ""Multifunktionslenkrad"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Notrad"", ""Partikelfilter"", ""Raucherpaket"", ""Regensensor"", ""Reifendruckkontrolle"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Skisack"", ""Sportpaket"", ""Tempomat"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Winterreifen"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
6750,185000,Schaltgetriebe,07/2005,05/2021,204,"[""ABS"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Freisprecheinrichtung"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Notrad"", ""Regensensor"", ""Reifendruckkontrolle"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Soundsystem"", ""Sportpaket"", ""Sportsitze"", ""Traktionskontrolle"", ""Winterreifen"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
3000,236000,Schaltgetriebe,09/1996,02/2022,170,"[""ABS"", ""Bluetooth"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tuner/Radio""]"
4300,256000,unknown,03/1998,unknown,115,"[""ABS"", ""Anh\\xc3\\xa4ngerkupplung fest"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Tuner/Radio""]"
2999,299000,Automatik,01/2002,unknown,170,"[""ABS"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Heckklappe"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Servolenkung"", ""Sitzheizung"", ""Skisack"", ""Sommerreifen"", ""Sportfahrwerk"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Umklappbarer Beifahrersitz"", ""Winterreifen"", ""Zentralverriegelung""]"
6750,281223,Schaltgetriebe,07/2001,unknown,231,"[""ABS"", ""Bluetooth"", ""Bordcomputer"", ""Elektr. Fensterheber"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Servolenkung"", ""Skisack"", ""Sommerreifen"", ""Traktionskontrolle"", ""Tuner/Radio"", ""USB"", ""Winterreifen"", ""Zentralverriegelung""]"
8700,138000,Automatik,03/1999,03/2022,193,"[""ABS"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
5990,175000,Schaltgetriebe,04/1992,01/2021,149,"[""ABS"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tuner/Radio""]"
4300,261000,Schaltgetriebe,01/2001,04/2021,149,[]
11499,188700,Schaltgetriebe,12/2006,03/2023,217,"[""ABS"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tuner/Radio""]"
12000,139000,Schaltgetriebe,01/2002,03/2023,231,"[""ABS"", ""Alarmanlage"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Multifunktionslenkrad"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Regensensor"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Sportpaket"", ""Sportsitze"", ""Tagfahrlicht"", ""Tempomat"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
3300,168902,Schaltgetriebe,12/2000,02/2022,170,"[""ABS"", ""Armlehne"", ""Bluetooth"", ""Bordcomputer"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Notrad"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Sommerreifen"", ""Stahlfelgen"", ""Traktionskontrolle"", ""USB"", ""Winterreifen"", ""Zentralverriegelung""]"
6990,212000,Automatik,03/2002,07/2022,170,"[""ABS"", ""Alarmanlage"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Freisprecheinrichtung"", ""Geschwindigkeitsbegrenzer"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Multifunktionslenkrad"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Pannenkit"", ""Raucherpaket"", ""Scheckheftgepflegt"", ""Schl\\xc3\\xbcssellose Zentralverriegelung"", ""Servolenkung"", ""Sommerreifen"", ""Soundsystem"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Sprachsteuerung"", ""Tagfahrlicht"", ""Tempomat"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
17977,107000,Schaltgetriebe,10/2006,03/2023,191,"[""ABS"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tuner/Radio""]"
4000,185000,Schaltgetriebe,05/1997,06/2022,149,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tuner/Radio""]"
3888,287000,Schaltgetriebe,11/1999,09/2022,193,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Tempomat"", ""Tuner/Radio""]"
4000,238000,Schaltgetriebe,06/2001,05/2022,231,"[""ABS"", ""Anh\\xc3\\xa4ngerkupplung fest"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
2999,42000,Schaltgetriebe,09/1994,11/2021,102,"[""ABS"", ""Allwetterreifen"", ""Elektr. Seitenspiegel"", ""Nichtraucher-Fahrzeug"", ""Scheckheftgepflegt"", ""Schiebedach"", ""Servolenkung"", ""Tuner/Radio"", ""Zentralverriegelung""]"
11900,112000,Automatik,03/2002,03/2022,231,"[""ABS"", ""Alarmanlage"", ""Armlehne"", ""Bi-Xenon Scheinwerfer"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Umklappbarer Beifahrersitz"", ""Zentralverriegelung""]"
6100,111111,Schaltgetriebe,07/1988,01/2022,171,"[""Sitzheizung""]"
3500,221644,Schaltgetriebe,02/2002,04/2022,142,"[""ABS"", ""Leichtmetallfelgen"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
19999,107000,Automatik,04/2002,07/2022,231,"[""ABS"", ""Alarmanlage"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Multifunktionslenkrad"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Scheckheftgepflegt"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Skisack"", ""Soundsystem"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Tempomat"", ""Traktionskontrolle"", ""Tuner/Radio"", ""TV"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
8500,135000,Schaltgetriebe,07/1994,03/2023,149,"[""Bluetooth"", ""Leichtmetallfelgen"", ""Tuner/Radio""]"
9999,215000,Schaltgetriebe,09/2001,03/2023,231,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
9999,222800,Schaltgetriebe,12/2003,10/2021,191,"[""ABS"", ""Bluetooth"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
7000,204000,unknown,11/2003,05/2021,191,"[""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Tempomat"", ""Tuner/Radio""]"
12000,150000,Schaltgetriebe,06/1987,10/2022,100,"[""Leichtmetallfelgen"", ""Tuner/Radio""]"
7500,136500,Schaltgetriebe,06/1998,03/2022,149,"[""ABS"", ""Ambiente-Beleuchtung"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lordosenst\\xc3\\xbctze"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Raucherpaket"", ""Servolenkung"", ""Sitzheizung"", ""Sommerreifen"", ""Sportfahrwerk"", ""Sportpaket"", ""Sportsitze"", ""Standheizung"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Zentralverriegelung""]"
1600,190000,Schaltgetriebe,05/1991,unknown,112,"[""Scheckheftgepflegt""]"
4200,230227,Schaltgetriebe,10/1989,03/2023,100,"[""ABS"", ""Leichtmetallfelgen""]"
12700,178000,Schaltgetriebe,05/1999,07/2021,240,"[""ABS"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
8990,184000,Schaltgetriebe,01/1995,11/2022,115,"[""ABS"", ""Alarmanlage"", ""Armlehne"", ""Bluetooth"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Wegfahrsperre"", ""Freisprecheinrichtung"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Servolenkung"", ""Sitzheizung"", ""Soundsystem"", ""Sportpaket"", ""Sportsitze"", ""Tuner/Radio"", ""Umklappbarer Beifahrersitz"", ""USB"", ""Zentralverriegelung""]"
6499,294000,Schaltgetriebe,07/2004,05/2022,204,"[""ABS"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
2500,250000,Automatik,05/2002,unknown,231,"[""ABS"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
1650,146000,Schaltgetriebe,11/2003,04/2021,115,"[""ABS"", ""Leichtmetallfelgen"", ""Tuner/Radio""]"
2700,277000,Schaltgetriebe,09/2001,11/2021,170,"[""ABS"", ""Anh\\xc3\\xa4ngerkupplung fest"", ""Bluetooth"", ""Freisprecheinrichtung"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Tempomat"", ""Tuner/Radio""]"
3350,224216,Automatik,12/1998,04/2021,193,"[""Bluetooth"", ""Freisprecheinrichtung"", ""Navigationssystem"", ""Sitzheizung"", ""Tempomat"", ""Tuner/Radio""]"
1500,280000,Schaltgetriebe,05/1994,07/2022,104,"[""ABS"", ""Anh\\xc3\\xa4ngerkupplung fest"", ""Bluetooth"", ""Sitzheizung"", ""Tuner/Radio""]"
1500,148200,Schaltgetriebe,06/1998,02/2022,142,[]
1900,260000,Schaltgetriebe,02/1997,03/2023,100,"[""ABS"", ""Tuner/Radio""]"
13500,159000,Schaltgetriebe,03/2006,03/2023,217,"[""ABS"", ""Leichtmetallfelgen"", ""Scheckheftgepflegt"", ""Tempomat"", ""Tuner/Radio""]"
